Post,Score1,Score2,AverageScore,Equal,PositiveScore,,,
"<p>Pair programming is based on the idea that the interaction of two programmers adds value. If this is not true, change the pairs... let them choose. Programming should be fun!</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Perhaps you could could just use right(x, len(x)-3)</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Pieter's suggestion is good of course, but one thing you've to bear in mind is that in case of big arrays building it may be quite slow. Every time vector capacity changes, all the data has to be copied around ('n' vectors of vectors).</p>
",1,1,1,TRUE,TRUE,,,
"<p>Please follow the following steps</p>

<p>-Right click on . feature file -> Open With -> Cucumber Editor</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Please follow the following steps</p>

<p>-Right click on . feature file -> Open With -> Cucumber Editor</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Please remove <code>&lt;?xml version=""1.0""?&gt;</code> from your mapping and config file.It will solve your problem</p>
",1,1,1,TRUE,TRUE,,,
"<p>Please remove the quotes from e.g. <code>Worksheets(A)</code>, but add them into Range as follows: e.g. <code>Range(&quot;AQ12:BW26&quot;).Copy</code>.</p>
",1,1,1,TRUE,TRUE,,,
"<p>Please try this</p>

<pre><code>  echo $this-&gt;Form-&gt;input('employee_id',array('readonly','value' =&gt; 'MAZANDRE'));
</code></pre>

<p>This will make the input field a readonly value and the value will be submitted through the form.</p>
",1,0,0.5,FALSE,FALSE,,,
"<p>Please use double quotes <code>(""/"")</code> in the SSIS Expression instead of single quotes.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Probably the mistake is in this function evaluating</p>
<pre><code>if (this.filteredRecipe.RecipePrice === 0)
</code></pre>
<p>Past it code or check it by yourself.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>recursion is old hat.  here is mutual recursion.  kick off by calling either function.</p>

<pre><code>a()
{
    b();
}
b()
{
    a();
}
</code></pre>

<p>PS: but you were asking for shortest way.. not most creative way!</p>
",0,0,0,TRUE,TRUE,,,
"<p>Remove your final | from your where-object worked on my test. Also ensure that there is directories that meet your where-object as this will leave a blank end time also.</p>
",0,0,0,TRUE,TRUE,,,
"<p>s=malloc(1024); should not be in loop, you should allocate the memory once and reset s with NULL before use next time in loop.
Also you should make a habit to free the memory after its usage.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>See this image:</p>

<p><img src=""https://i.stack.imgur.com/2oeWX.png"" alt=""enter image description here""></p>

<p>It is easy to solve, just change the visible row count.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>see this package -- extended_text_field</p>
",0,0,0,TRUE,TRUE,,,
"<p>Set UTF-8 encoding in your IDE.</p>
",-1,0,-0.5,FALSE,FALSE,,,
"<p>Short answer: you can't</p>
<p>DJI have done a good job to secure everything on that filesystem. Mainly due to &quot;no flight zones database&quot;.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Shouldn't it be:</p>

<pre><code>echo ""&lt;p&gt;&lt;pre&gt;&lt;a href='$Feed[""socialfacebook""]'&gt;&lt;img src=facebook-24.png&gt;&lt;/a&gt;"";
</code></pre>

<p>Don't forget that is <code>href=""""</code>.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Simply press Escape.
It will close the application after saving the projects currently running.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>sir suppose my question is
myst= &quot;Hello kumar gaurav&quot;
print(myst[0::-1])
here we also start from 0 then why first character is print.
can u explain the difference between this question and previous question..</p>
",1,1,1,TRUE,TRUE,,,
"<p>Some service packs have broken Intellisense and in the past I have had to either reinstall the product or repair.  Try repair first!</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Sorry I'm quite new to coding. I have a button that gets a date from the user (TDateTimePicker). I want the selected date from the user to be highlighted a red colour in a TCalendar. How do I do this?</p>
",1,1,1,TRUE,TRUE,,,
"<p>Sorry I'm still new here and figuring out how to post answers. It looks like your .navbar and .links need ""display: block"". If they are not block elements, then there is nothing for the margins to 'push against'</p>
",1,1,1,TRUE,TRUE,,,
"<p>Sorry, I solved the problem.It was a mistake typing control = and not true ==</p>
",1,1,1,TRUE,TRUE,,,
"<p>Structs are just like classes that live in the stack. I see no reason why they should be ""unsafe"".</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Surrogate key will NEVER have a reason to change. I cannot say the same about the natural keys. Last names, emails, ISBN nubmers - they all can change one day.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>Take a look at <a href=""http://www.yaml.de/en/home.html"" rel=""nofollow noreferrer"">YAML</a>.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Take a look at the official <a href=""http://www.eclipse.org/tptp/"" rel=""nofollow noreferrer"">TPTP plugin</a> for Eclipse. This pretty much does all you describe and a (frikkin') whole lot more. I can really recommend it.</p>
",1,1,1,TRUE,TRUE,,,
"<p>Thank for your help. I understand the problem.</p>

<p>I fixed now the problem in a really dirty way... 
When i have modifikated options i destroy the lib object and create a new one. Itâ€™s not the fine way but a solution.</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>Thank you all for your replies. </p>

<p>The error was occurring because I didn't set Internet permission within manifest so it wasn't able to connect to the URL. </p>

<p>It works now :) </p>
",2,2,2,TRUE,TRUE,,,
"<p>Thank you for your help!</p>

<p>finally this works for me</p>

<p>public extern static int IsEmpty(
            int KeyID,
            int[] pFlag)</p>
",2,2,2,TRUE,TRUE,,,
"<p>THanks @Spencer Barnes for helping. Countif function is a good idea. Another way too is amending directly the stored procedure into SQL. YOu can even uses the UPDATE statement (if exists ... UPDATE) if your datas are clean</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>Thanks for all who helped me.
i find the error <code>for (i in 3:columns-1)</code> rewrite <code>for (i in 4:columns-1)</code> and its work</p>
",2,2,2,TRUE,TRUE,,,
"<p>Thanks for that. It really helped me out. I had to add :</p>
<pre><code>mask-image: url(&quot;URL of Mask Image&quot;);
mask-size: 100%;
</code></pre>
<p>to get it to render correctly in Edge.</p>
",2,2,2,TRUE,TRUE,,,
"<p>Thanks man. It works like charm. Can you explain me what change? A week ago the code before works and now this happens</p>
",2,2,2,TRUE,TRUE,,,
"<p>Thanks, this has helped me a lot!</p>

<p>One small comment, you have to use angle brackets:</p>

<pre><code>IQueryable&lt;CInformation&gt; info = from table1 in dataContext.table1
</code></pre>
",2,2,2,TRUE,TRUE,,,
"<p>The answer is : YOU CANNOT</p>
",-1,-1,-1,TRUE,TRUE,,,
"<p>The best way to do this is to start reading the Siebel Bookshelf. Additionally you can browse for some good web sites about Siebel,  I came across with this: <a href=""http://www.techienawa.com"" rel=""nofollow"">Techienawa</a></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>The correct answer is</p>
<pre><code>android:gravity=&quot;center_horizontal
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>The efficiency of the naive approach is terrible ! You should use the property that the sum of the integers from 0 to n is n(n+1)/2.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>The last cast is unnecessary.</p>

<pre><code>var subset = from p in Enum.GetValues(typeof(Positions)).Cast&lt;Positions&gt;() where p &lt;= Postions.Lawyer &amp;&amp; p &gt;= Positions.Manager select p;
</code></pre>
",0,0,0,TRUE,TRUE,,,
"<p>The relationship is wrong, the user must have the status as has one, and the status belongs to user.</p>
<p>also from my opinion i would rather to save the user id, in the status table better. and it'll be much simple.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>The Undo button.</p>
",0,0,0,TRUE,TRUE,,,
"<p>There can be only one form tag , ideally form tag in the master page will be suffice . Can you tell us why you need form tag in aspx page ? Please share the code that will help us to get the work around for your use case.</p>
",1,1,1,TRUE,TRUE,,,
"<p>There is excellent documentation of all components on the official website: <a href=""https://flume.apache.org/FlumeUserGuide.html"" rel=""nofollow"">https://flume.apache.org/FlumeUserGuide.html</a></p>
",1,1,1,TRUE,TRUE,,,
"<p>This can be further simplified like::</p>

<pre><code>source_code = [block.astext() for block in doctree.traverse(nodes.literal_block)
               if 'code' in block.attributes['classes']]
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>This code might work for you, try it:</p>
<p><a href=""https://i.stack.imgur.com/1PgSw.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/1PgSw.png"" alt=""enter image description here"" /></a></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>This indicates that the mount path of the volume is not existing.</p>
",0,0,0,TRUE,TRUE,,,
"<p>This is a forrmal resolution of the problem.</p>

<pre><code>SXSSFWorkbook t_wb = null;
try(SXSSFWorkbook wb = t_wb = new SXSSFWorkbook()) {
    //...
} finally {
    if(t_wb != null) t_wb.dispose();
}
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>This is easy. Just loop and if operator.</p>
<pre><code>forever
  if &lt;...&gt;
    code goes here
  else
  end
end
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>This technical article may help you:<br>
<a href=""https://msdn.microsoft.com/en-us/library/ms996466.aspx#rpc_literal_topic3"" rel=""nofollow noreferrer""><strong>Converting RPC/literal to Document/literal</strong></a></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>This will break from the loop.</p>
",0,0,0,TRUE,TRUE,,,
"<p>This Worked for me!</p>
<pre><code>import { useNavigation } from '@react-navigation/native';
function funcName() {
  const navigation = useNavigation();

  return (
   {/* Your code /*}
  );
}
</code></pre>
",1,2,1.5,FALSE,TRUE,,,
"<p>This worked for me:</p>

<p>Set the KeyPreview on the Form to True.</p>

<p>Hope that helps.</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>this works for me!
I recognised that first app as Default <strong>Version Name</strong> 1.0.0 <strong>Version Number</strong> 1
so this means 1.0.0+1</p>
<p>I updated my app after I wrote as 1.0.0+2 in pubspec.yaml.</p>
",1,2,1.5,FALSE,TRUE,,,
"<p>To add to John's post, there is also built in unit testing, built in refactoring, code analysis, and the web designer for html\javascript is vastly improved.  I can't think of any reason why you wouldn't upgrade.</p>
",0,0,0,TRUE,TRUE,,,
"<p>To get past and today you can use </p>

<pre><code>@PastOrPresent
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>Try doing a clean-up and then an update. If that not work, please explain better your issue.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Try ethereal.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Try splitting your code into an unsigned jar and a signed jar.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Try this CSS:</p>
<p><code>.add_to_cart_button:hover{background-color:#000000!important;}</code></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Try this
npm install -g node-sass</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Try to have what you think is necessary there and dont think about if it will be slow or fast. Preoptimization is a time waster so code it, profile it and optimize it if needed. </p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Try to replace the root() function for an explicit [All] member. For a strange reason, root() worked very slow when I tried LinkedMember() function on my calculated measures.</p>

<p>Hope this helps you too!</p>
",2,2,2,TRUE,TRUE,,,
"<p>Try using a Prefix resolver delegate.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Try:</p>
<pre><code> sudo apt purge vlc
 sudo apt autoremove
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>Turns out Android does not yet allow for this kind of system manipulation. Hopefully in a later version they will implement some better mouse controls.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>typically, I don't.</p>

<p>Globalize strings that may be seen by a user, and you don't let your exception messages percolate up to the UI, right?</p>

<p>Right?  :)</p>
",1,1,1,TRUE,TRUE,,,
"<p>Unfortunately you will have to install both versions. Older version of the framework are not automatically bundled with newer versions.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Use a absolute path for call wait.py !</p>
<p>For example:</p>
<p><code>system(&quot;py -3.8 C:\Users\wait.py 0.1&quot;);</code></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>use C# driver from here <a href=""http://github.com/samus/mongodb-csharp"" rel=""nofollow"">http://github.com/samus/mongodb-csharp</a> - it's easy.
C++ and C driver I can't understand too.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>use firefox and type location as file:///storage/path/to/file</p>
",0,0,0,TRUE,TRUE,,,
"<p>Use fonts better.
Transform svg icons to font, use <a href=""https://icomoon.io"" rel=""nofollow noreferrer"">https://icomoon.io</a>  for example.
Then just use your custom css-class.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>Use regex. First remove those commas. Then add the commas where u need them to be.</p>
",0,0,0,TRUE,TRUE,,,
"<p>use simple bit.ly address in your canvas url.... it works</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Use this regular expression to match that pattern:
<code>/^[0-9]+\W(\w+\W){2}/gm</code></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>use this url: localhost/laravel/spareparts/public/admin/contact</p>
",0,0,0,TRUE,TRUE,,,
"<p>use this.</p>

<pre><code>fig = plt.figure(figsize=(10,8))
plt.xticks(np.arange(min(x), max(x)+1, 1.0))
</code></pre>
",0,0,0,TRUE,TRUE,,,
"<p>Using json is a much better solution for this.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>We do not have much information on the code structure, but usually, to stack items vertically you want to use a <a href=""https://developer.android.com/reference/android/widget/LinearLayout"" rel=""nofollow noreferrer"">LinearLayout</a></p>
",0,0,0,TRUE,TRUE,,,
"<p>We re-created the action using the default package (not having it in a sub-package), and it started working immediately.</p>

<p>Things to note: Watson dialog editor does not like dashes in the package name.</p>

<p>Thanks Mitch!</p>
",2,2,2,TRUE,TRUE,,,
"<p>We use SQL Profiler to test our queries with LLBLGen Pro.  </p>
",0,0,0,TRUE,TRUE,,,
"<p>well it was  a mistake which was done by carelessness, serilport.Open() method must be called with brackets</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>Well, considering they are random, there is no really way to make sure, but testing for 100 000 password should clear most doubts :)</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Well, thanks to Chuck Walbourn, the problem have been resolved. 
The problem was in static library and accidentally I targeted to a different directory were DLL should be placed. </p>

<p>Thanks! </p>
",2,2,2,TRUE,TRUE,,,
"<p>What about you just ask the user to don't kill the process ? How much time you'll spend doing it, for a behavior that is clearly childish from employees in the same company.</p>
",-1,-1,-1,TRUE,TRUE,,,
"<p>What do you need exactly?
if you need to convert timestamp to date, use format function.</p>

<pre><code>$timestamp=$result1['timestamp'];
$timestamp=new DateTime($timestamp);
$date=$timestamp-&gt;format(""n.j.Y"");
</code></pre>
",0,0,0,TRUE,TRUE,,,
"<p>What you are asking is somewhat like asking how to become an expert chocolatier so that you can remove all that hellish brown stuff from your favourite chocolate cake.</p>
",-1,0,-0.5,FALSE,FALSE,,,
"<p>what you're looking for is <a href=""http://php.net/manual/en/function.ksort.php"" rel=""nofollow noreferrer"">ksort</a>. Dig the PHP manual! ;)</p>
",0,2,1,FALSE,FALSE,,,
"<p>Why can't you just use</p>
<pre><code>avg(avg_over_time(m[d]))
</code></pre>
<p>instead of</p>
<pre><code>sum(sum_over_time(m[d])) by (...) / sum(count_over_time(m[d])) by (...)
</code></pre>
",0,0,0,TRUE,TRUE,,,
"<p>Why not a named anchor?</p>
",0,0,0,TRUE,TRUE,,,
"<p>Why not write your own join() method?  It would take as parameters collection of Strings and a delimiter String.  Within the method iterate over the collection and build up your result in a StringBuffer.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Will you include your full backend code? We need to see the function that returns the Jobject. Thanks!</p>
",1,1,1,TRUE,TRUE,,,
"<p>Will you need to access the values of other variables when calculating an expression?</p>
",0,0,0,TRUE,TRUE,,,
"<p>With sorted list, you can use binary search.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Write a function that takes one string argument and returns the string with all the vowels removed.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Yes - you don't know what resolution the reader is using, or what size screen - or even if accessibility is required/used. As mentioned above, not everybody knows about full page zoom - I know about it, but hardly use it...</p>
",0,0,0,TRUE,TRUE,,,
"<p>Yes. Look at the source for HandleErrorAttribute.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Yes. What you've written works.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>You are passing not compatible value in line of 50 of your api.xml file.
share your configuration xml file for more details. </p>
",0,1,0.5,FALSE,FALSE,,,
"<p>You can accomplish this using callbacks and dcc.interval, but it is clunky!</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>you can define and use a function like this:</p>
<pre class=""lang-js prettyprint-override""><code>routerPush(path) {
  if (this.$route.path !== path) {
    this.$router.push(path);
  }
}
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>You can do this</p>
<pre><code>x = [10,0,30,40]
for var in x:
    if var != 0:
        y = var
        break
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>You can just use dynamic routing. To create new templates, code must be changed anyway.</p>
",0,0,0,TRUE,TRUE,,,
"<p>You can just use the filter option. That automatically sets filters across selected columns.</p>
",0,0,0,TRUE,TRUE,,,
"<p>You can probably use <code>svn blame</code> to get the date each line was changed and then use <code>sed</code> to pull out only the year and month and then use <code>sort</code> and <code>uniq -c</code> to generate a useful report.</p>
",0,0,0,TRUE,TRUE,,,
"<p>You can use tinyjpg.com or smash plugin to shrink the images. This will help you to optimize your website.</p>
",1,1,1,TRUE,TRUE,,,
"<p>You can't, the warning message is designed to stop code from disruptively closing windows.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>You can't.  But why do you need to?  Surely if the page just says that the file isn't available then it won't be a huge page (i.e. by definition, the file won't be there)?</p>
",0,0,0,TRUE,TRUE,,,
"<p>You could try using shortcodes feature. There is no other easy way to place some code right into the middle of post content.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>you just need a web server host looks like this:http://127.0.0.1:8084/xxx</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>You might want to use a combination of CruiseControl (or CruiseControl.NET) and Ant (or NAnt). That does the job extremely well for us.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>You should add a google service metadata into a manifest.</p>

<pre><code> &lt;meta-data
        android:name=""com.google.android.gms.version""
        android:value=""@integer/google_play_services_version"" /&gt;
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>You should create a wildcard app ID; com.mycompany.*. That may help. </p>
",0,0,0,TRUE,TRUE,,,
"<p>You should find the closest li tag with your mainlinks class and then select the text of the first child.
Like this:</p>

<pre><code>$(this).child().first().text()+"" : ""+$(this).text();
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>You should go and take a look of <a href=""https://www.learncpp.com/cpp-tutorial/passing-arguments-by-reference/"" rel=""nofollow noreferrer"">pass by reference</a></p>
<p>. That's your problem.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>you should make the output file a proper html file, with the html and body tags. That should work better.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>You should show snippets of codes that we need to provide an answer.</p>
",0,0,0,TRUE,TRUE,,,
"<p>You should try this :</p>
<p><code>pip install tkinter</code></p>
<p>I hope this would solve the issue.</p>
",2,2,2,TRUE,TRUE,,,
"<p>You should use the wonderful <a href=""http://midimick.com/magicknet/"" rel=""nofollow noreferrer"">ImageMagick</a> library. It has .NET bindings so no problem there.</p>

<p>Have fun! :)</p>
",2,2,2,TRUE,TRUE,,,
"<p>You sort of answered your own question. The best way to prevent the error dialog is to write code that handles your exceptions so the dialog will never appear. I would wager this is what Raymond Chen would suggest (if I may be so bold).</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>you'd better read this:
<a href=""http://msdn.microsoft.com/en-us/library/aa730880(VS.80).aspx"" rel=""nofollow noreferrer"">http://msdn.microsoft.com/en-us/library/aa730880(VS.80).aspx</a>
in my opinion it depends on what you are developing</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Your code looks fine,</p>

<p>I would use the method <code>ADD_NODES_AND_ITEMS</code> myself if I were to add nodes and items ;)</p>

<p>Beyond that, try to call <code>EXPAND_NODE</code> after you added the items/nodes and see if that helps.</p>
",1,1,1,TRUE,TRUE,,,
"<p>Your problem:</p>

<pre><code>if (!process.ProcessName.StartsWith(""iexplore""))
{
process.Kill();
}
</code></pre>

<p>Your program is trying to kill everything EXCEPT for Internet Explorer</p>
",0,0,0,TRUE,TRUE,,,
"<p>You'r right awesome, thank you! The problem now is it's addinng to margin  or padding.. So when ill measure padding ill have more of it from the lineheight. If ill set padding 35px, 35+something will happen.</p>
",2,2,2,TRUE,TRUE,,,
"<p>Your solution is both straight foward and easy to understand. I can see no reason to do it another way :)</p>

<p>The only thing I'd suggest is to replace your iterator with a foreach loop and break on an error.</p>
",2,2,2,TRUE,TRUE,,,
"<pre><code>        driver.findElement(By.xpath(""//div[@class='login-btn']"")).click();
</code></pre>

<p>This one worked. thanks guys.</p>
",2,2,2,TRUE,TRUE,,,
"<pre><code>&lt;script&gt;
$(document).ready(function() {
  $(&quot;#add&quot;).click(function(){
    addForm('#form2');
  });
});
&lt;/script&gt;
</code></pre>
<p>Hope It's Help You</p>
",2,2,2,TRUE,TRUE,,,
"<pre><code>virgin = 0;     /* you're not a virgin anymore, sweety */
</code></pre>
",0,-1,-0.5,FALSE,FALSE,,,
A keyboard and your brain...!?,0,-2,-1,FALSE,FALSE,,,
And list refers to READING a list in the resultset.  I don't wipe the ass of the programmer.,-1,-1,-1,TRUE,TRUE,,,
And this does not do that?    You are beyond helping and I will remember to not try in the future.,-2,-2,-2,TRUE,TRUE,,,
are you stubborn or just stupid?,-2,-2,-2,TRUE,TRUE,,,
attempt your assignment you lazy person!,-2,-2,-2,TRUE,TRUE,,,
Bro you have something to add here  add it if not fuck off it's that simple and thanks,-2,-2,-2,TRUE,TRUE,,,
CHILL!!!!!!!!!!!,0,-1,-0.5,FALSE,FALSE,,,
Come on then bruv fight me!,-2,-2,-2,TRUE,TRUE,,,
Common sense!!!,-1,-1,-1,TRUE,TRUE,,,
Did you try anything at all? Did you search for this? Do you even *know* JavaScript?,0,-2,-1,FALSE,FALSE,,,
doesn't work......stupid solution,-2,-2,-2,TRUE,TRUE,,,
don't post useless questions. All i read here is Here's the problem. Do it for me,-1,-2,-1.5,FALSE,TRUE,,,
Don't worry about it. No one cares about your code,-1,-1,-1,TRUE,TRUE,,,
Dude get a bloody life!,-2,-2,-2,TRUE,TRUE,,,
dude you are lame. forget it,-2,-2,-2,TRUE,TRUE,,,
EITHER NORMAL FORM POST (PAGE REFRESH) OR FORM POST WITH AJAX. NO OTHER POSSIBILITY,-1,0,-0.5,FALSE,FALSE,,,
Format your code properly first. It looks ugly.,-1,-1,-1,TRUE,TRUE,,,
Geez a beginner is no excuse for not learning at all.. You can search it easily in google..,-1,-2,-1.5,FALSE,TRUE,,,
Guess who is the stupid one.,-2,-2,-2,TRUE,TRUE,,,
Haha you're a joke.  Keep showing the whole world that you can't communicate respectfully.  Let's hope this question gets lots of views - you might even become famous.,-2,-2,-2,TRUE,TRUE,,,
Have you *tried* to do it with streams? Don't just expect Stack-Overflow users to refactor your code for you...,-1,-1,-1,TRUE,TRUE,,,
Have you bothered to actually look at the PHP docs and see how to do it or do you just want somebody to spoonfeed you the codez,-1,-2,-1.5,FALSE,TRUE,,,
Hello nobody cares about your life story :) get to the point,-2,-1,-1.5,FALSE,TRUE,,,
Hey smart guy even so you stopped for looking and lose time answering it get a life nerd,-2,-2,-2,TRUE,TRUE,,,
Holy shit. this is a null pointer exception now AS I MENTIONED ABOVE IF YOU GUYS CAN READ IT PLEASE.,-2,-2,-2,TRUE,TRUE,,,
how to solve it with C# - by writing some...,0,0,0,TRUE,TRUE,,,
Huh?...........,0,0,0,TRUE,TRUE,,,
I DONT GIVE A SHIT WRITE PROPER WORKING PRODUCT,-2,-2,-2,TRUE,TRUE,,,
I HOPE YOU BURN IN HELL !,-2,-2,-2,TRUE,TRUE,,,
i will kill you!!!,-2,-2,-2,TRUE,TRUE,,,
If you don't know the answer keep your mouth shut,-2,-2,-2,TRUE,TRUE,,,
if you werent such a knob you'd have given a worthwhile answer.,-2,-2,-2,TRUE,TRUE,,,
It depends on what you're trying to do with your code mr. know nothing.,-1,-2,-1.5,FALSE,TRUE,,,
It is a dumb pointless question and voting to close it as such.,-2,-1,-1.5,FALSE,TRUE,,,
IT WORKS!!! THERE IS NO COUNTER STATEMENT SECONDLY IF I PUT != IT DOESNT DO ANYTHING THUS IT WORKS LISTEN BEFORE YOU SPEAK,-2,-2,-2,TRUE,TRUE,,,
Jesus. This is supposed to be an interactive community. I could care less about formatting I want to ask other coders for some advice. That shouldn't be a problem.,-1,-2,-1.5,FALSE,TRUE,,,
liar! this doesn't work,-1,-2,-1.5,FALSE,TRUE,,,
Maybe you should learn Java before you try writing an Android app.,-1,0,-0.5,FALSE,FALSE,,,
my eyes!!!!.............,-1,-1,-1,TRUE,TRUE,,,
My Question is above your Low IQ level ,-2,-2,-2,TRUE,TRUE,,,
No because your implementation sucks,-2,-2,-2,TRUE,TRUE,,,
No one cares what is freaky or annoying. Just ask the question and skip the gratuitous emoting please.,-2,-1,-1.5,FALSE,TRUE,,,
NO! FOR GODE SAKE! If i wrote standart swift file it means in a .swift file,-1,-1,-1,TRUE,TRUE,,,
now who's copying others ....,-1,-1,-1,TRUE,TRUE,,,
Obviously you didn't have anything to contribute to this for help so I'm not sure why you're still here............,-1,-2,-1.5,FALSE,TRUE,,,
oh come on dude you cant even do your coding part???its soo simple..,-1,-1,-1,TRUE,TRUE,,,
Oh please. Try harder. And What part of Google is your friend don't you understand?,-1,-2,-1.5,FALSE,TRUE,,,
OKAY BUT WHAT DOES THIS HAVE TO DO WITH PHP OR MYSQL? - See it just looks stupid don't use all caps.,-1,-2,-1.5,FALSE,TRUE,,,
omfg what is that?,-2,-1,-1.5,FALSE,TRUE,,,
Only a stupid developer would do that.,-2,-1,-1.5,FALSE,TRUE,,,
Please capitalise punctuate and paragraph this mess.,-1,-1,-1,TRUE,TRUE,,,
Please do not run this into production... never,-1,-1,-1,TRUE,TRUE,,,
POST THE CODE YOU'VE WRITTEN!,-1,-1,-1,TRUE,TRUE,,,
POST YOUR CODE.. WE ARE NOT CLAIRVOYANT.,-1,-1,-1,TRUE,TRUE,,,
serious minus 2 ? so you know that its not good question??????????SO TELL ME THE DAMNED ANSWER THEN GENIUSES!,-2,-2,-2,TRUE,TRUE,,,
Seriously ? It's the easiest programming task I've ever seen. Juste read some doc/tutorial about arrays,-1,-2,-1.5,FALSE,TRUE,,,
Seriously your question is completely different now and this gets asked all the time. Why do you need personal assistance with such simple matters?,-1,-2,-1.5,FALSE,TRUE,,,
Seriously? Did you even bother to look at the documentation for UIButton?,-1,-1,-1,TRUE,TRUE,,,
SHOW US .H AND .M OF CUSTOM BUTTON ALSO WHERE YOU USED IT.,-1,-1,-1,TRUE,TRUE,,,
shut up sir.....,-2,-1,-1.5,FALSE,TRUE,,,
shut up............,-2,-2,-2,TRUE,TRUE,,,
StackOverflow: The correct answer is there but the prick who makes the most fun of the question no matter how incorrectly gets the most votes.,-2,-1,-1.5,FALSE,TRUE,,,
Terrible answer and terrible choice of date as an example!,-2,-2,-2,TRUE,TRUE,,,
Thank you **** however if you not prepared to help keep your stupid comments to yourself.,-1,-2,-1.5,FALSE,TRUE,,,
Thanks for being a published asshole,-2,-2,-2,TRUE,TRUE,,,
thanks for the sarcastic comment neck beard. May all your friends think your the coolest person ever.,-2,-1,-1.5,FALSE,TRUE,,,
that code is a mess!!,-1,-1,-1,TRUE,TRUE,,,
That's the most pathetic answer I have ever encountered in Stack Exchange.,-2,-2,-2,TRUE,TRUE,,,
That's the opposite of what he asked! DOn't people read!?!?!,-1,-1,-1,TRUE,TRUE,,,
The only possible explanation is that you are a terrible person and regularly beat small dogs just for fun.,-2,-2,-2,TRUE,TRUE,,,
The question on my mind is can you help yourself? If so don't tell me just post the MCVE. Otherwise stop wasting my time.,-2,-2,-2,TRUE,TRUE,,,
